Indicadors geogràfics. Altitud i coordenades UTM
Municipis. 2013
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=inddt&n=4700&geo=mun&t=201300&lang=es
Codi,Nom,Altitud (metres),Coordenades UTM (metres). UTMx,Coordenades UTM (metres). UTMy
081521,Orpí,375,383875,4598625
081537,Òrrius,259,446285,4600849
251569,Os de Balaguer,463,310800,4638150
171169,Osor,340,463275,4644050
251575,Ossó de Sió,391,347075,4624375
081542,Pacs del Penedès,201,388835,4580026
081555,Palafolls,16,479233,4613067
171175,Palafrugell,64,513700,4640800
171181,Palamós,12,510900,4633250
251581,"Palau d'Anglesola, el",250,323750,4613350
171194,Palau de Santa Eulàlia,86,497150,4669250
171215,Palau-sator,20,509200,4648750
171208,Palau-saverdera,78,512425,4684250
081568,Palau-solità i Plegamans,130,431729,4604401
431009,"Pallaresos, els",120,354975,4559900
081574,Pallejà,41,416246,4586330
430995,"Palma d'Ebre, la",335,304625,4572950
089058,"Palma de Cervelló, la",100,413815,4585315
171236,Palol de Revardit,152,483225,4657775
171241,Pals,55,512425,4646650
081580,"Papiol, el",135,417343,4587998
171254,Pardines,1226,435325,4684900
081593,Parets del Vallès,98,436200,4602800
171267,Parlavà,40,502538,4652440
431016,Passanant i Belltall,714,349675,4599575
171289,Pau,33,509725,4685100
431021,Paüls,378,281100,4533600
171292,Pedret i Marzà,22,505675,4684575
251641,Penelles,276,330950,4625050
171306,"Pera, la",93,497950,4652300
081607,Perafita,754,426240,4654970
431037,Perafort,125,353800,4561600
171328,Peralada,32,500875,4684200
251654,Peramola,566,356775,4657900
431042,"Perelló, el",142,307300,4527600
081614,Piera,324,395650,4597492
431055,"Piles, les",676,341450,4584650
081635,Pineda de Mar,10,474260,4608445
431068,"Pinell de Brai, el",189,291100,4543650
251667,Pinell de Solsonès,800,369035,4645655
251673,Pinós,823,379025,4631775
431074,Pira,385,349900,4587500
431080,"Pla de Santa Maria, el",381,357125,4580700
081640,"Pla del Penedès, el",216,392481,4586151
171334,"Planes d'Hostoles, les",370,461750,4656250
171349,Planoles,1136,426300,4685450
259118,"Plans de Sió, els",412,350250,4625125
251689,"Poal, el",216,321650,4616550
251692,"Pobla de Cérvoles, la",663,325750,4581825
081653,"Pobla de Claramunt, la",265,389805,4601314
081666,"Pobla de Lillet, la",843,415553,4677617
431093,"Pobla de Mafumet, la",98,350025,4561275
431107,"Pobla de Massaluca, la",357,278150,4562450
431114,"Pobla de Montornès, la",56,367125,4559950
251713,"Pobla de Segur, la",524,332475,4679525
431129,Poboleda,343,319550,4567200
081672,Polinyà,123,429824,4601033
431135,"Pont d'Armentera, el",349,363150,4582750
250306,"Pont de Bar, el",861,385250,4692250
171352,Pont de Molins,43,494250,4684850
251734,"Pont de Suert, el",838,314250,4697850
081825,"Pont de Vilomara i Rocafort, el",202,406100,4617250
431418,Pontils,551,365500,4593250
081688,Pontons,584,376125,4586175
171365,Pontós,94,493250,4670650
251728,Ponts,363,349650,4642100
171371,Porqueres,148,481743,4661586
431140,Porrera,316,320300,4562075
171404,"Port de la Selva, el",12,516975,4687550
171387,Portbou,28,513100,4697300
251749,"Portella, la",259,303900,4623725
431153,Pradell de la Teixeta,463,321850,4558475
431166,Prades,950,331650,4575250
431172,Prat de Comte,363,281875,4540325
081691,"Prat de Llobregat, el",8,424372,4575838
431188,Pratdip,245,321200,4546825
081712,Prats de Lluçanès,707,419748,4651432
081705,"Prats de Rei, els",608,378719,4618319
251752,Prats i Sansor,1124,404324,4691154
251765,Preixana,328,336700,4608150
251771,Preixens,315,338150,4628950
082303,Premià de Dalt,142,445400,4595379
081727,Premià de Mar,8,446560,4593555
171390,"Preses, les",474,455500,4666025
251790,Prullans,1096,396050,4692850
171411,Puigcerdà,1202,411850,4698600
081748,Puigdàlber,239,391467,4584663
251804,Puiggròs,334,324025,4602225
431191,Puigpelat,252,357525,4571300
081751,Puig-reig,455,407245,4647524
251811,Puigverd d'Agramunt,366,344050,4627025
251826,Puigverd de Lleida,219,311050,4601800
081764,Pujalt,770,368709,4619694
081770,"Quar, la",885,415800,4662150
171426,Quart,91,486900,4643150
170433,Queralbs,1236,431075,4689025
431205,Querol,565,366250,4587250
171432,Rabós,106,502375,4692100
081786,Rajadell,361,392490,4620556
431362,"Ràpita, la",11,296350,4499500
431212,Rasquera,174,298150,4541975
171447,Regencós,78,514200,4644725
081799,Rellinars,322,409414,4610300
431227,Renau,175,358600,4565300
431233,Reus,117,341350,4557850
251832,Rialp,725,346650,4700975
431248,"Riba, la",263,347575,4575850
431251,Riba-roja d'Ebre,76,289600,4569800
259059,Ribera d'Ondara,570,361975,4609975
251850,Ribera d'Urgellet,702,366800,4685950
171450,Ribes de Freser,912,431700,4684475
171463,Riells i Viabrea,96,463300,4619575
431264,"Riera de Gaià, la",28,362575,4558675
251863,Riner,830,377771,4641539
171479,Ripoll,691,433350,4672350
081803,Ripollet,79,429689,4594701
259139,Riu de Cerdanya,1173,403415,4689015
171485,Riudarenes,84,476550,4630250
171498,Riudaura,572,451175,4671075
431270,Riudecanyes,195,328975,4555375
431286,Riudecols,299,330300,4559650
171501,Riudellots de la Selva,98,483950,4638200
431299,Riudoms,125,336500,4556150
171518,Riumors,7,503525,4675200
081810,"Roca del Vallès, la",123,443962,4604511
431303,Rocafort de Queralt,566,356650,4593400
431310,Roda de Berà,57,370500,4560700
081831,Roda de Ter,443,442891,4648223
431325,Rodonyà,312,365900,4571350
431331,Roquetes,14,289500,4522050
171523,Roses,5,514800,4679100
251898,Rosselló,252,299950,4618750
431346,"Rourell, el",114,350725,4565300
081846,Rubí,123,419237,4593980
081859,Rubió,629,381022,4611514
171539,Rupià,66,500975,4652250
089019,Rupit i Pruit,822,455862,4652793
081878,Sabadell,190,425814,4599900
081884,Sagàs,738,414238,4656133
251902,Salàs de Pallars,573,329350,4675650
081901,Saldes,1215,395873,4676245
171544,Sales de Llierca,260,471200,4676225
081918,Sallent,278,408419,4631036
431359,Salomó,165,363850,4565725
439057,Salou,2,343250,4549100
171557,Salt,83,482450,4647150
251919,Sanaüja,409,359950,4637600
081944,Sant Adrià de Besòs,14,435510,4586514
081957,Sant Agustí de Lluçanès,816,427900,4659800
081960,Sant Andreu de la Barca,42,414500,4589100
081976,Sant Andreu de Llavaneres,114,456871,4602548
171576,Sant Andreu Salou,132,485625,4635900
171833,Sant Aniol de Finestres,289,468195,4657875
081982,Sant Antoni de Vilamajor,258,450192,4613848
081995,Sant Bartomeu del Grau,868,431586,4645867
082009,Sant Boi de Llobregat,30,419832,4577595
082016,Sant Boi de Lluçanès,813,429866,4656749
082037,Sant Cebrià de Vallalta,71,466721,4607810
082021,Sant Celoni,152,457714,4615494
082042,Sant Climent de Llobregat,87,416199,4576779
171582,Sant Climent Sescebes,86,498450,4690950
082055,Sant Cugat del Vallès,124,423467,4591732
082068,Sant Cugat Sesgarrigues,266,395805,4580164
251961,Sant Esteve de la Sarga,875,315100,4661275
082074,Sant Esteve de Palautordera,231,453062,4617208
082080,Sant Esteve Sesrovires,183,406045,4594320
